GREFFE,ADRESSE,CODE_POSTAL,VILLE,TELEPHONE,FAX,SITE_LOCAL,COMPLEMENT_ADRESSE,LATTITUDE,LONGITUDE,HORAIRES,NUMERO,GREFFE_NORMALISE,SITE_DATA_GREFFE
CHATEAUROUX,11 RUE PAUL LOUIS COURIER,36020,CHATEAUROUX CEDEX,254340626,,http://www.greffe-tc-chateauroux.fr,,46.811434,1.686779,9h-12h/13h30-16h30  hormis le vendredi : 9h-12h/13h30-16h,3601,chateauroux,https://chateauroux-mongreffe.opendatasoft.com
ANNECY,19 AV DU PARMELAN,74007,ANNECY CEDEX,450050545,,http://www.greffe-tc-annecy.fr,,45.905524,6.131979,Du lundi au vendredi de 8h45 à 12h et de 13h45 à 16h,7401,annecy,https://annecy-mongreffe.opendatasoft.com
CHERBOURG,22 RUE DE L'ANCIEN QUAI,50120,CHERBOURG CEDEX,233932460,,http://www.greffe-tc-cherbourg.fr,,49.639093,-1.625298,10H-12H/14H-16H,5001,cherbourg,https://cherbourg-mongreffe.opendatasoft.com
COMPIEGNE,2 RUE DAHOMEY,60200,COMPIEGNE,344385151,,http://www.greffe-tc-compiegne.fr,,49.417419,2.828684,9H00 à 12H00/14H00 à 17H00,6002,compiegne,https://compiegne-mongreffe.opendatasoft.com
ARRAS,13 RUE ROGER SALENGRO,62008,ARRAS,321242525,,http://www.greffe-tc-arras.fr,,50.293843,2.768651,9h-12h/14h-16h,6201,arras,https://arras-mongreffe.opendatasoft.com
FOIX,14 BD DU SUD,9004,FOIX CEDEX,561024280,561051268,http://www.greffe-tc-foix.fr,,42.966559,1.606461,Du lundi au vendredi: 8H30 à 12H00 et de 14H00 à 16H00.,901,foix,https://foix-mongreffe.opendatasoft.com
MELUN,2 AV DU GENERAL LECLERC,77000,MELUN,164798400,164798421,http://www.greffe-tc-melun.fr,,48.526354,2.652909,8h30-12h00 / 13h30-16h00,7702,melun,https://melun-mongreffe.opendatasoft.com
EVRY,1 RUE DE LA PATINOIRE,91011,EVRY CEDEX,169473650,,http://www.greffe-tc-evry.fr,,48.629441,2.430564,du lundi au jeudi  de 9h00 à 11h45 et de 13h30 à 16h45  le vendredi de 9h00 à 11h45 et de 13h30 à 15h45.,7801,evry,https://evry-mongreffe.opendatasoft.com
NARBONNE,40 BD DU GENERAL DE GAULLE,11108,NARBONNE CEDEX,468320176,,http://www.greffe-tc-narbonne.fr,,43.184558,3.008623,Du lundi au vendredi  de 9h à 12h et de 13h30 à 16h,1104,narbonne,https://narbonne-mongreffe.opendatasoft.com
LISIEUX,49 RUE DE PARIS,14104,LISIEUX CEDEX,231485550,,http://www.greffe-tc-lisieux.fr,,49.147159,0.233374,du Lundi au Vendredi de 8 H 30 à 12 H 30 et de 13 H 30 à 17 Heures,1407,lisieux,https://lisieux-mongreffe.opendatasoft.com
NEVERS,19 RUE SAINT MARTIN,58020,NEVERS CEDEX,386610671,,http://www.greffe-tc-nevers.fr,,46.989284,3.159594,Du lundi au vendredi  de 9h à 12h et de 14h à 16h,5802,nevers,https://nevers-mongreffe.opendatasoft.com
MEAUX,56 RUE ARISTIDE BRIAND,77100,MEAUX,891011111,,http://www.greffe-tc-meaux.fr,,48.956157,2.889576,Du Lundi au Vendredi  de 9h à 11h30 et de 14h à 16h30,7701,meaux,https://meaux-mongreffe.opendatasoft.com
NIORT,18 RUE MARCEL PAUL,79028,NIORT CEDEX 9,549791440,,http://www.greffe-tc-niort.fr,,46.32488,-0.456029,De 8h45 à 12h00 et de 13h30 à 16h00,7901,niort,https://niort-mongreffe.opendatasoft.com
DOUAI,66 RUE ST JULIEN,59500,DOUAI CEDEX,327961743,,http://www.greffe-tc-douai.fr,,50.371012,3.076526,9h30 à 12h/13h30 à 16h,5952,douai,https://douai-mongreffe.opendatasoft.com
FREJUS,272 BD JEAN-JAURES,83600,FREJUS,494536168,,,,43.433152,6.737034,,8303,frejus,https://frejus-mongreffe.opendatasoft.com
RENNES,7 RUE PIERRE ABELARD,35031,RENNES CEDEX,299653888,,http://www.greffe-tc-rennes.fr,,48.105325,-1.686294,Lundi : 10h à 12h/13h30 à 17h00 Mardi Mercredi  Jeudi  Vendredi : 8h30 à 12h00/13h30 à 17h0,3501,rennes,https://rennes-mongreffe.opendatasoft.com
SEDAN,1 RUE DE LA COMEDIE,8202,SEDAN CEDEX,324575053,,http://www.greffe-tc-sedan.fr,,49.702509,4.943773,Du Lundi au Vendredi   10h-12h30/13h-15h30,802,sedan,https://sedan-mongreffe.opendatasoft.com
THONON-LES-BAINS,10 RUE DE L'HOTEL-DIEU,74200,THONON LES BAINS,450721320,,http://www.greffe-tc-thononlesbains.fr,,46.369037,6.478758,,7402,thononlesbains,https://thononlesbains-mongreffe.opendatasoft.com
SAINT-NAZAIRE,,44606,ST NAZAIRE,240225232,,http://www.greffe-tc-saintnazaire.fr,,47.279273,-2.215247,9H00-12H00  14H00-16H00,4402,saintnazaire,https://saintnazaire-mongreffe.opendatasoft.com
TARASCON,28 Allée du Général Jennings de Kilmaine,13150,TARASCON,490914200,,http://www.greffe-tc-tarascon.fr,,43.802051,4.662323,,1305,tarascon,https://tarascon-mongreffe.opendatasoft.com
ROMANS,2-4 RUE SABATON,26105,ROMANS CEDEX,475711848,,http://www.greffe-tc-romans.fr,,45.042658,5.051441,,2602,romans,https://romans-mongreffe.opendatasoft.com
CHAUMONT,6 RUE RAYMOND SAVIGNAC,52000,CHAUMONT,325038037,,http://www.greffe-tc-chaumont.fr,BATIMENT DE L'HORLOGE,48.096225,5.14334,Du Lun au Jeu: 9h-12h/14h-17h<br/>Ven:9h-12h/14h-16h,5201,chaumont,https://chaumont-mongreffe.opendatasoft.com
CAEN,PL GAMBETTA,14037,CAEN CEDEX,231854000,,http://www.greffe-tc-caen.fr,PALAIS DE JUSTICE,49.179305,-0.366111,Du lundi au vendredi  de 8h30 à 12h et de 14h à 16h30,1402,caen,https://caen-mongreffe.opendatasoft.com
BOURGES,1 PL HENRI MIRPIED,18000,BOURGES,248700733,248708992,http://www.greffe-tc-bourges.fr,,47.086262,2.392906,De 08H00 à 12H00 et de 13H00 à 16H00,1801,bourges,https://bourges-mongreffe.opendatasoft.com
CHALON-SUR-SAONE,4 RUE Emiland Menand,71100,CHALON SUR SAONE,385900780,,http://www.greffe-tc-chalonsursaone.fr,,46.7848208,4.8534565,9h à 12h et 13h30 à 16h,7102,chalonsursaone,https://chalonsursaone-mongreffe.opendatasoft.com
COUTANCES,67 RUE SAINT NICOLAS,50208,COUTANCES CEDEX,233194211,,http://www.greffe-tc-coutances.fr,,49.051145,-1.443533,9h-12h / 13h30 – 16h30  du lundi au vendredi,5002,coutances,https://coutances-mongreffe.opendatasoft.com
BERGERAC,6 RUE DES CARMES,24100,BERGERAC,553635800,,http://www.greffe-tc-bergerac.fr,,44.853625,0.486993,du lundi au vendredi 8H45-12H00 et de 13h30-17h00,2401,bergerac,https://bergerac-mongreffe.opendatasoft.com
CUSSET,RUE DU BIEF,3306,CUSSET CEDEX,470983913,,http://www.greffe-tc-cusset.fr,,46.135583,3.450061,DU LUNDI AU VENDREDI de 8H30 à 12H00 et de 14H00 à 16H30,301,cusset,https://cusset-mongreffe.opendatasoft.com
AUBENAS,RUE GEORGE COUDERC - MAIRIE ANNEXE,7200,AUBENAS,475892180,,http://www.greffe-tc-aubenas.fr,GREFFE DU TRIBUNAL DE COMMERCE,44.614323,4.389807,,702,aubenas,https://aubenas-mongreffe.opendatasoft.com
BASTIA,,20297,BASTIA CEDEX,495348470,,http://www.greffe-tc-bastia.fr,PALAIS DE JUSTICE,42.6957,9.446483,9h30-12h/sur RDV l'après midi,2002,bastia,https://bastia-mongreffe.opendatasoft.com
BESANCON,1 RUE MEGEVAND,25000,BESANCON,891011111,,http://www.greffe-tc-besancon.fr,,47.236615,6.022439,9h30 à 12 h et 14h à 16h,2501,besancon,https://besancon-mongreffe.opendatasoft.com
SAINT MALO,1 RUE DE LA CROIX DESILLES,35400,ST MALO,299200090,,http://www.greffe-tc-saintmalo.fr,PARC D'AFFAIRES CAP SUD,48.6522059,-1.9720288,Du lundi au vendredi de 8h30 à 12h15 et de 13h30 à 16h45  fermé le jeudi après-midi,3502,saintmalo,https://saintmalo-mongreffe.opendatasoft.com
ROANNE,5 Bis PL GEORGES CLEMENCEAU,42333,ROANNE CEDEX,477720622,,http://www.greffe-tc-roanne.fr,PALAIS DE JUSTICE,46.040159,4.072934,Du lundi au vendredi de 8 heures à 12 heures et de 14 heures à 17 heures.,4201,roanne,https://roanne-mongreffe.opendatasoft.com
SAINT-ETIENNE,36 RUE DE LA RESISTANCE,42006,ST ETIENNE CEDEX 1,477439797,,http://www.greffe-tc-saintetienne.fr,,45.43749,4.386367,Du lundi au jeudi : 9H00 à 12H00 et 13H30-16H00<br/>Vendredi : 9H00 à 12H00 et 13H00 à 15H00<br/>,4202,saintetienne,https://saintetienne-mongreffe.opendatasoft.com
TOULON,140 BD MARECHAL LECLERC,83041,TOULON CEDEX 09,891011111,,http://www.greffe-tc-toulon.fr,PALAIS LECLERC,43.125717,5.928175,9h00 à 11h30/14h00 à 16h15,8305,toulon,https://toulon-mongreffe.opendatasoft.com
VERSAILLES,1 PL ANDRE MIGNOT,78011,VERSAILLES CEDEX,139071640,,http://www.greffe-tc-versailles.fr,,48.802383,2.131433,8h45/16h30  15h30 le vendredi,7803,versailles,https://versailles-mongreffe.opendatasoft.com
SOISSONS,76 RUE ST MARTIN,2209,SOISSONS CEDEX,323530482,,http://www.greffe-tc-soissons.fr,,49.380396,3.328149,9h à 12h/14h à17h,203,soissons,https://soissons-mongreffe.opendatasoft.com
VESOUL,20 RUE DIDON,70007,VESOUL CEDEX,384758270,,http://www.greffe-tc-vesoul.fr,,47.615269,6.149404,9H00-12H00/14H00 à 16H00,7001,vesoul,https://vesoul-mongreffe.opendatasoft.com
PAU,3 RUE DUPLAA,64000,PAU,559986060,,http://www.greffe-tc-pau.fr,,43.299377,-0.37257,9H00-12H00 et 13H30-16H00,6403,pau,https://pau-mongreffe.opendatasoft.com
VIENNE,27/31 RUE DE BOURGOGNE,38217,VIENNE CEDEX,428380560,,http://www.greffe-tc-vienne.fr,,45.526419,4.873227,,3802,vienne,https://vienne-mongreffe.opendatasoft.com
DUNKERQUE,,59376,DUNKERQUE CEDEX 1,328519283,,http://www.greffe-tc-dunkerque.fr,PALAIS DE JUSTICE,51.023183,2.373347,du lundi au vendredi  de 9h30 à 11h45 et de 14h à 16h,5902,dunkerque,https://dunkerque-mongreffe.opendatasoft.com
LIBOURNE,36 RUE VICTOR HUGO,33504,LIBOURNE CEDEX,557255805,,http://www.greffe-tc-libourne.fr,,44.915655,-0.246168,Lun-Jeu: 8h30 à 12h/13h30 à 17h  Ven: 8h30 à 12h/13h30  à 16h,3303,libourne,https://libourne-mongreffe.opendatasoft.com
MONT-DE-MARSAN,7 PL FRANCIS PLANTE,40005,MONT DE MARSAN CEDEX,558466070,,http://www.greffe-tc-montdemarsan.fr,,43.887374,-0.502974,9H à 12H/14 à 17H,4002,montdemarsan,https://montdemarsan-mongreffe.opendatasoft.com
LE PUY-EN-VELAY,4 AV DE LA DENTELLE,43009,LE PUY EN VELAY,471090078,,http://www.greffe-tc-lepuyenvelay.fr,,45.04169,3.88857,8H à 12H/13H30 à 16H,4302,lepuyenvelay,https://lepuyenvelay-mongreffe.opendatasoft.com
NANCY,,54003,NANCY CEDEX,383406960,,http://www.greffe-tc-nancy.fr,CITE JUDICIAIRE,48.678947,6.172192,du lundi au vendredi de 9h00 à 12h00 et de 14h00 à 16h00,5402,nancy,https://nancy-mongreffe.opendatasoft.com
LILLE METROPOLE,445 BD GAMBETTA,59200,TOURCOING,320366545,,http://www.greffe-tc-lillemetropole.fr,TOUR MERCURE,50.705074,3.162217,,5910,lillemetropole,https://lillemetropole-mongreffe.opendatasoft.com
DIEPPE,54 RUE DU FAUBOURG DE LA BARRE,76204,DIEPPE CEDEX,235841187,,http://www.greffe-tc-dieppe.fr,,49.92346,1.074949,9H à 12H/13H30 à 16H30,7601,dieppe,https://dieppe-mongreffe.opendatasoft.com
EVREUX,7 RUE DE LA PETITE CITE,27003,EVREUX CEDEX,232223720,,http://www.greffe-tc-evreux.fr,,49.025347,1.150485,9h-12h/14h-16h30,2702,evreux,https://evreux-mongreffe.opendatasoft.com
MONTLUCON,114 BD COURTAIS,3100,MONTLUCON,470050540,,http://www.greffe-tc-montlucon.fr,,46.339906,2.607697,9h à 12h/14h à 17h,303,montlucon,https://montlucon-mongreffe.opendatasoft.com
MACON,5 COU MOREAU,71018,MACON CEDEX,385380485,,http://www.greffe-tc-macon.fr,,46.30951,4.833888,,7106,macon,https://macon-mongreffe.opendatasoft.com
AGEN,6 RUE LOMET,47000,AGEN,553773415,553773418,http://www.greffe-tc-agen.fr,,44.20079,0.618539,Du Lundi au Vendredi : 9 h00 -12h30<br/>Du Lundi au Jeudi : 13h30 à 16 h 00,4701,agen,https://agen-mongreffe.opendatasoft.com
ANGERS,19 RUE RENE ROUCHY,49100,ANGERS CEDEX,241878930,,http://www.greffe-tc-angers.fr,,47.479273,-0.546961,Du Lun au Jeu: 9h-11h45/13h30-16h30 et Ven: 9h-11h45/13h30-15h45,4901,angers,https://angers-mongreffe.opendatasoft.com
ANTIBES,,6632,ANTIBES CEDEX,493341014,,http://www.greffe-tc-antibes.fr,NOVA ANTIPOLIS 60,43.601341,7.091675,8H30 à 12H/14H-16H,601,antibes,https://antibes-mongreffe.opendatasoft.com
ALENCON,81 RUE DU GUE DE SORRE,61000,ALENCON,233261755,,http://www.greffe-tc-alencon.fr,,48.419531,0.10527,9h-12h/14h-16h30,6101,alencon,https://alencon-mongreffe.opendatasoft.com
BELFORT,1 RUE DE MORIMONT,90000,BELFORT,384280557,384288654,http://www.greffe-tc-belfort.fr,SITE DE L'ESPERANCE,47.641227,6.861343,Lundi au Vendredi de 09h30 à 12h00 et de 13h30 à 16h00,9001,belfort,https://belfort-mongreffe.opendatasoft.com
BERNAY,PL GUSTAVE HEON,27305,BERNAY CEDEX,232447827,232448110,http://www.greffe-tc-bernay.fr,,49.089435,0.597714,8h30 à 12H00/13h15-16h30,2701,bernay,https://bernay-mongreffe.opendatasoft.com
AVIGNON,2 BD LIMBERT,84097,AVIGNON CEDEX 9,820220422,,http://www.greffe-tc-avignon.fr,,43.944449,4.816142,Du lundi au vendredi  8h-11h et 14 h-16h,8401,avignon,https://avignon-mongreffe.opendatasoft.com
ANGOULEME,13 PL DU CHAMPS DE MARS,16000,ANGOULEME,545931249,,http://www.greffe-tc-angouleme.fr,,45.649388,0.1603,Lundi-vendredi  9h-12h et 14h-16h,1601,angouleme,https://angouleme-mongreffe.opendatasoft.com
AURILLAC,21 PL DU SQUARE,15006,AURILLAC CEDEX,471481454,,http://www.greffe-tc-aurillac.fr,,44.928934,2.443192,8H30 à 12H00 et  13H30-16H00,1501,aurillac,https://aurillac-mongreffe.opendatasoft.com
BEAUVAIS,12 RUE DES TEINTURIERS,60004,BEAUVAIS CEDEX,344067400,,http://www.greffe-tc-beauvais.fr,,49.429077,2.070944,8h30-11h30/13h30-16h30,6001,beauvais,https://beauvais-mongreffe.opendatasoft.com
BLOIS,15 RUE DU PÈRE BROTTIER,41018,BLOIS CEDEX,254780791,,http://www.greffe-tc-blois.fr,,47.589805,1.335783,09 h 00 - 12 h 00 et 14 h 00 - 17 h 00,4101,blois,https://blois-mongreffe.opendatasoft.com
PONTOISE,3 RUE VICTOR HUGO,95300,PONTOISE,134254760,,http://www.greffe-tc-pontoise.fr,PALAIS DE JUSTICE,49.051595,2.098839,09H00-12H00 / 14H00-16H00 <br/>Borne de délivrance de KBIS disponible de 8h30 à 18h30,7802,pontoise,https://pontoise-mongreffe.opendatasoft.com
NANTES,2BIS QU FRANCOIS MITTERRAND,44262,NANTES CEDEX 2,240410200,,http://www.greffe-tc-nantes.fr,IMMEUBLE RHUYS,47.207325,-1.556185,9h à 12h/13h à 17h,4401,nantes,https://nantes-mongreffe.opendatasoft.com
POITIERS,21 RUE SAINT LOUIS,86036,POITIERS CEDEX,549888193,,http://www.greffe-tc-poitiers.fr,,46.584048,0.34034,Lundi au Jeudi : 9h00 à 12h00 et de 14h00 à 16h30. <br/>Vendredi 08h30 à 12h00 et de 14h00 à 15h30,8602,poitiers,https://poitiers-mongreffe.opendatasoft.com
NANTERRE,4 RUE PABLO NERUDA,92020,NANTERRE CEDEX,140971717,,http://www.greffe-tc-nanterre.fr,,48.89547,2.215666,Lundi au vendredi  9h-12h30 et 13h30-16h30,9201,nanterre,https://nanterre-mongreffe.opendatasoft.com
RODEZ,2 BD PIERRE BENOIT,12000,RODEZ,565735610,,http://www.greffe-tc-rodez.fr,,44.348857,2.572373,Du Lundi au Vendredi de 9H à 12H et de 14H à 16H,1203,rodez,https://rodez-mongreffe.opendatasoft.com
PERIGUEUX,3 PL YVES GUENA,24009,PERIGUEUX CEDEX,553456000,,http://www.greffe-tc-perigueux.fr,,45.187376,0.721514,9h-12h/14h-16h,2402,perigueux,https://perigueux-mongreffe.opendatasoft.com
REIMS,55-57 RUE THIERS,51724,REIMS CEDEX,326883066,,http://www.greffe-tc-reims.fr,,49.254424,4.031639,09h30 à 12h00/13h30 à 16h00,5103,reims,https://reims-mongreffe.opendatasoft.com
NICE,6 RUE DESIRE NIEL,6009,NICE CEDEX,493928787,,http://www.greffe-tc-nice.fr,,43.700489,7.275971,De 9h à 12h et de 13h30 à 15h,605,nice,https://nice-mongreffe.opendatasoft.com
QUIMPER,23 RUE DU PALAIS,29000,QUIMPER,298554247,,http://www.greffe-tc-quimper.fr,,47.993749,-4.109842,8h15 - 12h15/13h15 - 16h15,2903,quimper,https://quimper-mongreffe.opendatasoft.com
MONTAUBAN,PL BOURDELLE,82000,MONTAUBAN,563632088,,,,44.0174097,1.3515356,,8201,montauban,https://montauban-mongreffe.opendatasoft.com
LA ROCHE-SUR-YON,55 RUE HOCHE,85017,LA ROCHE SUR YON CEDEX,251376705,,http://www.greffe-tc-larochesuryon.fr,,46.67149,-1.433877,8h30 à 12h/14h à 18h sauf le vendredi 17 h,8501,larochesuryon,https://larochesuryon-mongreffe.opendatasoft.com
BOBIGNY,1-13 RUE MICHEL DE L'HOSPITAL,93008,BOBIGNY CEDEX,891011111,,http://www.greffe-tc-bobigny.fr,,48.906871,2.454007,Du lundi au vendredi  de 9h à 12h30 et de 13h30 à 16h30,9301,bobigny,https://bobigny-mongreffe.opendatasoft.com
GRASSE,37 AV PIERRE SEMARD,6133,GRASSE,891011111,,http://www.greffe-tc-grasse.fr,,43.660153,6.926492,du lundi au vendredi de 9h à 12h et de 14h à 16h,603,grasse,https://grasse-mongreffe.opendatasoft.com
BREST,150 RUE ERNEST HEMINGWAY,29219,BREST CEDEX 2,298433131,,http://www.greffe-tc-brest.fr,,48.3853511,-4.478258,9h - 12h/14h - 16h30,2901,brest,https://brest-mongreffe.opendatasoft.com
GUERET,23 PL BONNYAUD,23000,GUERET,555411011,,http://www.greffe-tc-gueret.fr,PALAIS DE JUSTICE,46.168946,1.871077,,2301,gueret,https://gueret-mongreffe.opendatasoft.com
BORDEAUX,,33064,BORDEAUX CEDEX,556018170,,,PALAIS DE LA BOURSE,44.841888,-0.57071,Du Lundi au Vendredi de 9h00 à 12h00 et de 13h00 à 16h00,3302,bordeaux,https://bordeaux-mongreffe.opendatasoft.com
LE HAVRE,16 RUE DU COLONEL FABIEN,76600,LE HAVRE CEDEX,235421550,,http://www.greffe-tc-lehavre.fr,,49.492689,0.116816,,7606,lehavre,https://lehavre-mongreffe.opendatasoft.com
GAP,,5004,GAP CEDEX,492510192,,http://www.greffe-tc-gap.fr,,44.557589,6.077532,9h-12h/14h-16h sauf le Lundi matin,501,gap,https://gap-mongreffe.opendatasoft.com
MENDE,BD HENRI BOURRILLON,48000,MENDE,466484141,,http://www.greffe-tc-mende.fr,,44.517692,3.496925,,4801,mende,https://mende-mongreffe.opendatasoft.com
CHARTRES,22 BD CHASLES,28000,CHARTRES,237840025,,,,48.443854,1.489012,,2801,chartres,https://chartres-mongreffe.opendatasoft.com
DRAGUIGNAN,11 RUE P CLEMENT,83006,DRAGUIGNAN CEDEX,494508327,,http://www.greffe-tc-draguignan.fr,PALAIS DE JUSTICE,43.537727,6.464993,9h-12h/14h-16h,8302,draguignan,https://draguignan-mongreffe.opendatasoft.com
LAVAL,12 ALL de la Chartrie,53000,LAVAL,243597080,243581567,http://www.greffe-tc-laval.fr,,48.0692537,-0.7962793,9h00 à 12h00/13h45 à 16h45 sauf le vendredi 16h30,5301,laval,https://laval-mongreffe.opendatasoft.com
